category,message
2,free entry in number a wkly comp to win fa cup final tkts numbernumberst may numbernumbernumbernumber text fa to numbernumbernumbernumbernumber to receive entry questionstd txt ratetcs apply numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumberovernumbernumbers
2,freemsg hey there darling its been number weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send numbernumbernumber to rcv
2,winner as a valued network customer you have been selected to receivea numbernumbernumber prize reward to claim call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber claim code klnumbernumbernumber valid numbernumber hours only
2,had your mobile numbernumber months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,six chances to win cash from numbernumbernumber to numbernumbernumbernumbernumber pounds txt cshnumbernumber and send to numbernumbernumbernumbernumber cost numbernumbernumberpday numberdays numbernumber tsandcs apply reply hl number info
2,urgent you have won a number week free membership in our numbernumbernumbernumbernumbernumber prize jackpot txt the word claim to no numbernumbernumbernumbernumber tc wwwdbuknet lccltd pobox numbernumbernumbernumberldnwnumberanumberrwnumbernumber
2,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
2,england v macedonia  dont miss the goalsteam news txt ur national team to numbernumbernumbernumbernumber eg england to numbernumbernumbernumbernumber trywales scotland numbertxtnumbernumbernumber poboxoxnumbernumbernumbernumbernumberwnumbernumberwq numbernumber
2,thanks for your subscription to ringtone uk your mobile will be charged numbermonth please confirm by replying yes or no if you reply no you will not be charged
2,numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber for delivery tomorrow
2,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
2,congrats number year special cinema pass for number is yours call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber now c suprman v matrixnumber starwarsnumber etc all number free bxnumbernumbernumberipnumbernumberwe numbernumbernumberpm dont miss out
2,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a numbernumbernumbernumber bonus prize call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,urgent ur awarded a complimentary trip to eurodisinc trav acoentrynumbernumber or numbernumbernumbernumber to claim txt dis to numbernumbernumbernumbernumber numbernumbernumbernumbernumbernumbermorefrmmob shracomorsglsupltnumbernumber lsnumber numberaj
2,did you hear about the new divorce barbie it comes with all of kens stuff
2,please call our customer service representative on numbernumbernumbernumber numbernumbernumber numbernumbernumbernumber between numbernumberamnumberpm as you have won a guaranteed numbernumbernumbernumber cash or numbernumbernumbernumber prize
2,your free ringtone is waiting to be collected simply text the password mix to numbernumbernumbernumbernumber to verify get usher and britney fml po box numbernumbernumbernumber mknumbernumber numbernumberh numbernumbernumberppw numbernumber
2,gent we are trying to contact you last weekends draw shows that you won a numbernumbernumbernumber prize guaranteed call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber claim code knumbernumber valid numbernumberhrs only numbernumbernumberppm
2,you are a winner u have been specially selected number receive numbernumbernumbernumber or a number holiday flights inc speak to a live operator number claim numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumberpmin numbernumber
2,private your numbernumbernumbernumber account statement for numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber shows numbernumbernumber unredeemed bonus points to claim call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber identifier code numbernumbernumbernumbernumber expires
2,urgent your mobile no was awarded numbernumbernumbernumber bonus caller prize on numbernumbernumbernumber this is our final try to contact u call from landline numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber boxnumbernumberwrnumbernumberc numbernumbernumberppm
2,todays voda numbers ending numbernumbernumbernumber are selected to receive a numbernumbernumber award if you have a match please call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber quoting claim code numbernumbernumbernumber standard rates app
2,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to numbernumbernumbernumbernumber numbernumbernumber sptyrone
2,want number get laid tonight want real dogging locations sent direct number ur mob join the uks largest dogging network bt txting gravel to numbernumbernumbernumbernumber nt ecnumbera numbernumberpmsgnumbernumbernumberp
2,youll not rcv any more msgs from the chat svc for free hardcore services text go to numbernumbernumbernumbernumber if u get nothing u must age verify with yr network  try again
2,freemsg why havent you replied to my text im randy sexy female and live local luv to hear from u netcollex ltd numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumberp per msg reply stop to end
2,customer service annoncement you have a new years delivery waiting for you please call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber now to arrange delivery
2,you are a winner u have been specially selected number receive numbernumbernumbernumber cash or a number holiday flights inc speak to a live operator number claim numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,pls stop bootydelious numbernumberf is inviting you to be her friend reply yesnumbernumbernumber or nonumbernumbernumber see her wwwsmsacubootydelious stop send stop frnd to numbernumbernumbernumbernumber
2,bangbabes ur order is on the way u should receive a service msg number download ur content if u do not goto wap bangb tv on ur mobile internetservice menu
2,urgent we are trying to contact you last weekends draw shows that you have won a numbernumbernumber prize guaranteed call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber claim code snumbernumber valid numbernumberhrs only
2,please call our customer service representative on freephone numbernumbernumbernumber numbernumbernumber numbernumbernumbernumber between numberamnumbernumberpm as you have won a guaranteed numbernumbernumbernumber cash or numbernumbernumbernumber prize
2,are you unique enough find out from numbernumberth august wwwareyouuniquecouk
2,numbernumbernumber new mobiles from numbernumbernumbernumber must go txt nokia to no numbernumbernumbernumbernumber  collect yours todayfrom only number wwwnumbertcbiz numberoptout numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbergbpmtmsgnumbernumber
2,will u meet ur dream partner soon is ur career off number a flyng start number find out free txt horo followed by ur star sign e g horo aries
2,text  meet someone sexy today u can find a date or even flirt its up to u join number just numbernumberp reply with name  age eg sam numbernumber numbernumber msg recdthirtyeight pence
2,u numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber have a secret admirer who is looking number make contact with ufind out who they rreveal who thinks ur so specialcall on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,congratulations ur awarded numbernumbernumber of cd vouchers or numbernumbernumbergift guaranteed  free entry number numbernumbernumber wkly draw txt music to numbernumbernumbernumbernumber tncs wwwldewcomnumberwinnumbernumbernumberppmxnumberagenumbernumber
2,we tried to contact you re your reply to our offer of a video handset numbernumbernumber anytime networks mins unlimited text camcorder reply or call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber now
2,hey i am really horny want to chat or see me naked text hot to numbernumbernumbernumbernumber text charged at numbernumbernumberpm to unsubscribe text stop numbernumbernumbernumbernumber
2,ur ringtone service has changed numbernumber free credits go to clubnumbermobilescom to choose content now stop txt club stop to numbernumbernumbernumbernumber numbernumbernumberpwk clubnumber po boxnumbernumbernumbernumber mknumbernumber numberwt
2,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge
2,hmv bonus special numbernumbernumber pounds of genuine hmv vouchers to be won just answer number easy questions play now send hmv to numbernumbernumbernumbernumber more infowwwnumbernumbernumberpercentrealcom
2,tmobile customer you may now claim your free camera phone upgrade  a pay  go sim card for your loyalty call on numbernumbernumbernumber numbernumbernumber numbernumbernumbernumberoffer ends numbernumberthfebtcs apply
2,sms ac blind date numberu roddsnumber is numbernumberm from aberdeen united kingdom check him out httpimg sms acwicmbnumbercktznumberrnumbernumber no blind dates send hide
2,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to numbernumbernumbernumbernumber
2,think ur smart  win numbernumbernumber this week in our weekly quiz text play to numbernumbernumbernumbernumber nowtcs winnersclub po box numbernumber mnumbernumber numberuz numbernumber gbpnumbernumbernumberweek
2,december only had your mobile numbernumbermths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,call germany for only number pence per minute call from a fixed line via access number numbernumbernumbernumber numbernumbernumber numbernumber numbernumber no prepayment direct access
2,valentines day special win over numbernumbernumbernumber in our quiz and take your partner on the trip of a lifetime send go to numbernumbernumbernumbernumber now numbernumbernumberpmsg rcvd custcarenumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,fancy a shag i dointerested sextextukcom txt xxuk suzy to numbernumbernumbernumbernumber txts cost numbernumbernumber per msg tncs on website x
2,congratulations ur awarded numbernumbernumber of cd vouchers or numbernumbernumbergift guaranteed  free entry number numbernumbernumber wkly draw txt music to numbernumbernumbernumbernumber tncs wwwldewcomnumberwinnumbernumbernumberppmxnumberagenumbernumber
2,ur cashbalance is currently numbernumbernumber pounds  to maximize ur cashin now send cash to numbernumbernumbernumbernumber only numbernumbernumberpmsg cc numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber hgsuitenumbernumbernumbernumberlands rowwnumberjnumberhl
2,updatenow  xmas offer latest motorola sonyericsson  nokia  free bluetooth double mins  numbernumbernumbernumber txt on orange call mobileupdnumber on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber or callnumberoptoutfnumberq
2,here is your discount code rpnumbernumbernumbernumbernumbernumber to stop further messages reply stop wwwregalportfoliocouk customer services numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,thanks for your ringtone order reference tnumbernumber you will be charged gbp number per week you can unsubscribe at anytime by calling customer services on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,double mins and txts number numbermonths free bluetooth on orange available on sony nokia motorola phones call mobileupdnumber on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber or callnumberoptoutnnumberdx
2,numbermths half price orange line rental  latest camera phones number free had your phone numbernumbermths  call mobilesdirect free on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber to update now ornumberstoptxt
2,free ringtone text first to numbernumbernumbernumbernumber for a poly or text get to numbernumbernumbernumbernumber for a true tone help numbernumbernumbernumber numbernumbernumbernumbernumbernumbernumber numbernumber after numberst free tones are numberxnumbernumbernumberpw to end txt stop
2,numbernumbernumber dating service call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber boxnumbernumbernumbersknumbernumberch
2,free entry into our numbernumbernumber weekly competition just text the word win to numbernumbernumbernumbernumber now numbernumber tc wwwtxttowincouk
2,send a logo number ur lover  number names joined by a heart txt love namenumber namenumber mobno eg love adam eve numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber to numbernumbernumbernumbernumber yahoo poboxnumbernumbernumbernumbernumberwnumbernumberwq txtno number no ads numbernumbernumberp
2,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber  poboxnumbernumbernnumbernumbernumbertfnumbernumbernumberp
2,urgent your mobile number has been awarded with a numbernumbernumbernumber prize guaranteed call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber from land line claim numbernumbernumbernumber valid numbernumberhrs only
2,congrats nokia numbernumbernumbernumber video camera phone is your call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber calls cost numbernumbernumberppm ave call numbermins vary from mobiles numbernumber close numbernumbernumbernumbernumbernumber post bcmnumbernumbernumbernumber ldn wcnumbernnumberxx
2,loan for any purpose numbernumbernumber  numbernumbernumbernumbernumber homeowners  tenants welcome have you been previously refused we can still help call free numbernumbernumbernumber numbernumbernumbernumbernumbernumbernumber or text back help
2,upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on numbernumbernumbernumber numbernumbernumber numbernumbernumbernumber offer ends numbernumberth july tcs apply optout available
2,okmail dear dave this is your final notice to collect your number tenerife holiday or numbernumbernumbernumber cash award call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber from landline tcs sae boxnumbernumbernumber cwnumbernumberwx numbernumbernumberppm
2,want number get laid tonight want real dogging locations sent direct number ur mob join the uks largest dogging network by txting moan to numbernumbernumbernumbernumbernyt ecnumbera numbernumberpmsgnumbernumbernumberp
2,free message activate your numbernumbernumber free text messages by replying to this message with the word free for terms  conditions visit wwwnumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbercom
2,congrats number year special cinema pass for number is yours call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber now c suprman v matrixnumber starwarsnumber etc all number free bxnumbernumbernumberipnumbernumberwe numbernumbernumberpm dont miss out
2,error
2,you are guaranteed the latest nokia phone a numbernumbergb ipod mpnumber player or a numbernumbernumber prize txt word collect to no numbernumbernumbernumbernumber ibhltd ldnwnumbernumberh numbernumbernumberpmtmsgrcvdnumbernumber
2,boltblue tones for numbernumbernumberp reply poly or mono eg polynumber number cha cha slide number yeah number slow jamz number toxic number come with me or stop number more tones txt more
2,your credits have been topped up for httpwwwbubbletextcom your renewal pin is tgxxrz
2,urgent your mobile no was awarded a numbernumbernumbernumber bonus caller prize on numbernumbernumbernumbernumbernumber this is our numbernd attempt to contact you call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber boxnumbernumberqu
2,todays offer claim ur numbernumbernumber worth of discount vouchers text yes to numbernumbernumbernumbernumber now savamob member offers mobile t cs numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber numbernumbernumber sub numbernumber  unsub reply x
2,you will recieve your tone within the next numbernumberhrs for terms and conditions please see channel u teletext pg numbernumbernumber
2,private your numbernumbernumbernumber account statement for numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber shows numbernumbernumber unredeemed sim points call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber identifier code numbernumbernumbernumbernumber expires numbernumbernumbernumbernumbernumber
2,from wwwapplausestorecom monthlysubscriptionnumbernumberpmsg maxnumbermonth tcsc web agenumbernumber numberstop txt stop
2,gent we are trying to contact you last weekends draw shows that you won a numbernumbernumbernumber prize guaranteed call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber claim code knumbernumber valid numbernumberhrs only numbernumbernumberppm
2,you have won numbernumbernumbernumber cash or a numbernumbernumbernumber prize to claim callnumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,our mobile number has won numbernumbernumbernumber to claim calls us back or ring the claims hot line on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,we tried to contact you re your reply to our offer of numbernumbernumber mins numbernumbernumber textand a new video phone call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber now or reply for free delivery tomorrow
2,for ur chance to win a numbernumbernumber wkly shopping spree txt shop to numbernumbernumbernumbernumber tscs wwwtxtnumbershopcom custcare numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber numberxnumbernumbernumberpwk
2,you have been specially selected to receive a numbernumbernumbernumber pound award call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber before the lines close cost numbernumberppm numbernumber tcs apply ag promo
2,private your numbernumbernumbernumber account statement for numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber shows numbernumbernumber unredeemed s i m points call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber identifier code numbernumbernumbernumbernumber expires numbernumbernumbernumbernumbernumber
2,you have an important customer service announcement call freephone numbernumbernumbernumber numbernumbernumber numbernumbernumbernumber now
2,xclusiveclubsaisai numbermorow numbernumbernumber soiree speciale zouk with nichols from parisfree roses number all ladies  info numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,numbernumber days to kick off for euronumbernumbernumbernumber u will be kept up to date with the latest news and results daily to be removed send get txt stop to numbernumbernumbernumbernumber
2,new textbuddy chat number horny guys in ur area number just numbernumberp free number receive search postcode or at gaytextbuddycom txt one name to numbernumbernumbernumbernumber
2,todays vodafone numbers ending with numbernumbernumbernumber are selected to a receive a numbernumbernumber award if your number matches call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber to receive your numbernumbernumber award
2,dear voucher holder number claim this weeks offer at your pc go to httpwwwetlpcoukexpressoffer tscs applynumber stop texts txt stop to numbernumbernumbernumbernumber
2,private your numbernumbernumbernumber account statement for shows numbernumbernumber unredeemed s i m points call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber identifier code numbernumbernumbernumbernumber expires numbernumbernumbernumbernumbernumber
2,you have won numbernumbernumbernumber cash or a numbernumbernumbernumber prize to claim callnumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber tc rstm swnumber numberss numbernumbernumberppm
2,numbernumbernumbernumbernumber and numbernumbernumbernumbernumber are premium phone services call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,sms ac sunnumbernumbernumbernumber posts helloyou seem cool wanted to say hi hi stop send stop to numbernumbernumbernumbernumber
2,get ur numberst ringtone free now reply to this msg with tone grnumber top numbernumber tones to your phone every week just numbernumbernumber per wk number opt out send stop numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber numbernumber
2,hi im sue i am numbernumber years old and work as a lapdancer i love sex text me live  im i my bedroom now text sue to numbernumbernumbernumbernumber by textoperator gnumber numberda numbernumbernumberppmsg numbernumber
2,forwarded from numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumberplease call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber immediately as there is an urgent message waiting for you
2,to review and keep the fantastic nokia ngage game deck with club nokia go number wwwcnupdatescomnewsletter unsubscribe from alerts reply with the word out
2,numbermths half price orange line rental  latest camera phones number free had your phone numbernumbermths call mobilesdirect free on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber to update now ornumberstoptxt tcs
2,numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber between numbernumberamnumberpm cost numbernumberp
2,error
2,you have won a guaranteed numbernumbernumbernumber cash or a numbernumbernumbernumber prize to claim yr prize call our customer service representative on numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber between numbernumberamnumberpm
2,email alertfrom jeri stewartsize numberkbsubject lowcost prescripiton drvgsto listen to email call numbernumbernumber
2,hi customer loyalty offerthe new nokianumbernumbernumbernumber mobile from only numbernumber at txtauction txt word start to no numbernumbernumbernumbernumber  get yours now numbertctxt tc numbernumbernumberpmtmsg
2,u are subscribed to the best mobile content service in the uk for number per numbernumber days until you send stop to numbernumbernumbernumbernumber helpline numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,do you realize that in about numbernumber years well have thousands of old ladies running around with tattoos
2,you have an important customer service announcement from premier
2,romantic paris number nights number flights from numbernumber book now number next year call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbertscs apply
2,urgent ur numbernumbernumber guaranteed award is still unclaimed call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber now closingdatenumbernumbernumbernumbernumbernumber claimcode mnumbernumbermnumbernumber numbernumbernumberpmmorefrommobilenumberbremovedmobypoboxnumbernumbernumberlsnumbernumberyf
2,ur awarded a city break and could win a numbernumbernumber summer shopping spree every wk txt store to numbernumbernumbernumbernumber  skilgme tscsnumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumberwinawkagenumbernumber numbernumbernumberperwksub
2,you have an important customer service announcement from premier call freephone numbernumbernumbernumber numbernumbernumber numbernumbernumbernumber now
2,ever thought about living a good life with a perfect partner just txt back name and age to join the mobile community numbernumbernumberpsms
2,number free top polyphonic tones call numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber national rate get a toppoly tune sent every week just text subpoly to numbernumbernumbernumbernumber number per pole unsub numbernumbernumbernumbernumbernumbernumbernumbernumbernumbernumber
2,orange customer you may now claim your free camera phone upgrade for your loyalty call now on numbernumbernumbernumber numbernumbernumber numbernumbernumbernumber offer ends numbernumberthmarch tcs apply optout availa
